EmployeeID,Age,Department,JobRole,EducationField,Education,Gender,MaritalStatus,MonthlyIncome,HourlyRate,DailyRate,MonthlyRate,PercentSalaryHike,StockOptionLevel,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,BusinessTravel,DistanceFromHome,OverTime,Over18,StandardHours,EmployeeCount,AttritionRisk,Attrition,AttritionProbability,BurnoutRisk,BurnoutLabel,TenureBand,HireDate,FeedbackText
EMP00029,55,HR,Recruiter,Finance,4,Female,Married,21276,36,1345,25583,12,1,9,3,0,0,0,0,0,1,3,2,2,3,3,Travel_Rarely,17,No,Y,80,1,0,No,0.351,0.325,Low,<1yr,2023-09-03,Some processes are inefficient but improving.
EMP00030,35,Engineering,Staff Engineer,Psychology,4,Male,Married,4883,67,558,6281,13,3,2,3,3,3,3,3,2,4,3,3,3,1,4,Travel_Rarely,26,Yes,Y,80,1,1,Yes,0.452,0.593,High,1-3yr,2020-02-03,No clear path for career advancement here.
EMP00031,25,HR,HR Business Partner,Other,3,Female,Single,24851,66,545,6768,18,0,4,24,24,1,1,3,1,2,1,1,1,4,3,Travel_Rarely,3,No,Y,80,1,1,Yes,0.599,0.409,Low,15+yr,1999-03-30,Compensation is below market rate for my skills.
EMP00032,48,Engineering,Senior Engineer,Finance,4,Female,Single,3797,97,392,19384,14,3,4,32,3,1,1,3,4,4,4,4,1,3,3,Non-Travel,15,No,Y,80,1,0,No,0.291,0.291,Low,1-3yr,2020-03-13,"Management is okay, not exceptional."
EMP00033,50,Engineering,Staff Engineer,Computer Science,1,Female,Divorced,11209,71,955,14198,24,3,3,13,3,3,3,3,5,3,3,4,3,1,3,Travel_Rarely,17,No,Y,80,1,0,No,0.016,0.292,Low,1-3yr,2020-07-04,Workload is manageable most of the time.
EMP00034,49,Customer Success,CSM,Computer Science,3,Female,Married,11235,34,1369,20102,12,1,7,23,8,0,0,0,3,2,1,4,2,2,3,Travel_Frequently,6,No,Y,80,1,1,Yes,0.643,0.62,High,7-15yr,2015-09-26,"Work-life balance is terrible, always on-call."
EMP00035,56,Customer Success,CSM,Other,2,Female,Married,19538,93,677,9169,12,1,5,10,2,2,2,0,4,2,3,4,4,2,3,Non-Travel,24,No,Y,80,1,0,No,0.182,0.293,Low,1-3yr,2021-12-22,The role has some good aspects and some challenges.
EMP00036,29,Operations,COO,Business,4,Female,Married,24346,79,1027,9361,16,1,5,24,4,4,4,4,1,4,1,2,3,4,3,Travel_Rarely,19,Yes,Y,80,1,1,Yes,0.557,0.503,High,3-7yr,2019-05-15,Feeling completely disengaged and undervalued.
EMP00037,37,Sales,Sales Rep,Other,3,Male,Single,18257,44,1089,5830,18,1,0,27,0,0,0,0,5,2,2,1,3,3,4,Travel_Rarely,12,Yes,Y,80,1,1,Yes,0.577,0.46,Low,<1yr,2023-09-07,"Too much politics, not enough focus on real work."
EMP00038,57,Engineering,Staff Engineer,Marketing,1,Male,Married,23464,82,852,25538,17,0,5,6,6,6,5,2,1,3,2,3,3,1,3,Travel_Rarely,4,Yes,Y,80,1,1,Yes,0.553,0.695,High,3-7yr,2017-10-31,The workload is unsustainable and unrealistic.
EMP00039,51,Finance,Finance Manager,Computer Science,5,Male,Married,11050,54,607,23404,14,2,2,9,9,9,5,9,3,1,3,4,1,2,3,Travel_Frequently,21,Yes,Y,80,1,1,Yes,0.744,0.783,High,7-15yr,2014-07-12,Management doesn't listen to employee concerns.
EMP00040,39,Sales,VP Sales,Psychology,5,Male,Married,8947,38,485,4882,12,2,5,30,0,0,0,0,4,1,3,4,3,1,3,Travel_Rarely,23,No,Y,80,1,0,No,0.207,0.228,Low,<1yr,2023-10-11,Work is interesting but growth paths are unclear.
EMP00041,23,Engineering,Staff Engineer,Marketing,1,Male,Married,12617,67,1050,2998,19,0,9,18,9,9,3,8,2,1,3,2,1,3,3,Travel_Rarely,12,No,Y,80,1,0,No,0.266,0.304,Low,7-15yr,2015-01-02,"Management is okay, not exceptional."
EMP00042,34,Marketing,Marketing Analyst,Engineering,1,Female,Single,23704,51,310,17942,14,3,5,17,17,4,4,4,2,4,3,2,4,2,3,Travel_Rarely,27,No,Y,80,1,0,No,0.08,0.248,Low,15+yr,2006-03-13,The role has some good aspects and some challenges.
EMP00043,25,Engineering,Data Scientist,Finance,5,Male,Single,4892,78,819,18668,19,0,1,5,5,5,5,5,4,1,2,2,4,4,3,Travel_Frequently,22,No,Y,80,1,1,Yes,0.715,0.198,Low,3-7yr,2018-05-31,"Work-life balance is terrible, always on-call."
EMP00044,47,Product,VP Product,Marketing,3,Female,Divorced,6424,97,992,18246,15,2,0,27,9,8,7,0,2,1,2,1,2,4,3,Travel_Rarely,2,No,Y,80,1,1,Yes,0.665,0.409,Low,7-15yr,2014-05-07,Management doesn't listen to employee concerns.
EMP00045,46,Engineering,DevOps Engineer,Finance,5,Male,Married,12450,44,249,26996,24,2,2,6,1,1,1,1,5,1,1,3,1,3,3,Travel_Frequently,7,No,Y,80,1,1,Yes,0.643,0.48,Low,<1yr,2022-03-11,No clear path for career advancement here.
EMP00046,51,Finance,Financial Analyst,Other,1,Male,Married,16418,94,1237,20544,22,0,4,11,11,1,1,11,4,2,3,1,4,3,3,Non-Travel,16,No,Y,80,1,0,No,0.226,0.048,Low,7-15yr,2012-11-05,Compensation is competitive but benefits could improve.
EMP00047,32,Sales,Sales Manager,Marketing,4,Female,Single,5015,83,1357,5065,22,1,3,33,7,0,0,7,4,2,2,4,4,1,3,Travel_Rarely,24,No,Y,80,1,0,No,0.413,0.432,Low,3-7yr,2016-06-14,Feeling completely disengaged and undervalued.
EMP00048,28,Marketing,Marketing Analyst,Other,2,Female,Single,7833,59,787,12467,21,3,6,24,13,0,0,11,1,2,4,2,2,4,3,Travel_Rarely,12,No,Y,80,1,0,No,0.38,0.332,Low,7-15yr,2010-11-26,"Management is okay, not exceptional."
EMP00049,52,Marketing,Growth Manager,Engineering,4,Female,Married,12894,49,795,19878,21,0,3,16,14,9,6,3,0,3,1,4,2,3,3,Non-Travel,16,Yes,Y,80,1,1,Yes,0.779,0.732,High,7-15yr,2009-02-24,No clear path for career advancement here.
EMP00050,31,Engineering,Data Scientist,Computer Science,4,Female,Married,18942,62,869,14076,24,2,7,32,15,8,7,14,1,3,1,3,2,3,3,Non-Travel,14,No,Y,80,1,1,Yes,0.521,0.4,Low,7-15yr,2008-11-21,Poor communication from leadership constantly.
EMP00051,60,Customer Success,CS Manager,Engineering,1,Male,Married,12065,36,513,23007,17,1,6,22,10,10,2,8,2,3,1,3,1,4,4,Travel_Rarely,1,No,Y,80,1,1,Yes,0.458,0.491,Low,7-15yr,2013-03-12,Management doesn't listen to employee concerns.
EMP00052,34,Operations,Operations Manager,Computer Science,5,Female,Single,3565,37,805,4543,22,3,9,8,8,5,4,4,0,1,4,1,3,1,3,Travel_Rarely,22,No,Y,80,1,0,No,0.262,0.276,Low,7-15yr,2015-09-07,Management genuinely cares about employee growth.
EMP00053,52,Product,Product Manager,Other,3,Male,Married,10412,57,496,12033,15,2,8,5,1,1,1,1,4,2,4,1,1,1,4,Travel_Frequently,27,No,Y,80,1,1,Yes,0.488,0.461,Low,<1yr,2022-08-24,Feeling completely disengaged and undervalued.
EMP00054,28,Product,Product Manager,Computer Science,4,Male,Single,21402,74,768,23184,12,3,0,1,1,1,1,1,2,3,4,2,2,4,3,Travel_Rarely,9,No,Y,80,1,0,No,0.214,0.32,Low,<1yr,2022-03-28,Compensation is competitive but benefits could improve.
EMP00055,57,HR,HR Business Partner,Finance,5,Male,Single,13077,40,1387,3401,16,1,4,8,2,2,2,2,3,4,2,2,3,4,3,Non-Travel,7,No,Y,80,1,0,No,0.219,0.152,Low,1-3yr,2021-11-13,Excessive overtime is burning me out completely.
EMP00056,41,Product,Principal PM,Psychology,3,Male,Married,13315,60,1031,18829,17,2,3,2,2,2,2,1,2,2,4,4,4,4,3,Travel_Rarely,5,No,Y,80,1,0,No,0.118,0.003,Low,1-3yr,2021-10-06,Learning opportunities are abundant here.
EMP00057,25,Engineering,Software Engineer,Engineering,4,Male,Single,15834,41,809,6522,24,1,5,15,15,1,1,6,0,1,1,2,1,4,3,Non-Travel,29,No,Y,80,1,1,Yes,0.525,0.453,Low,7-15yr,2008-12-15,Excessive overtime is burning me out completely.
EMP00058,28,Engineering,Senior Engineer,Marketing,3,Non-binary,Single,5314,80,215,22151,21,0,0,24,18,9,3,0,0,2,3,2,2,4,3,Travel_Rarely,10,No,Y,80,1,0,No,0.384,0.26,Low,15+yr,2005-05-19,Some processes are inefficient but improving.
EMP00059,22,Engineering,Software Engineer,Engineering,5,Non-binary,Married,7412,73,1301,4551,23,0,5,23,6,2,2,6,4,1,1,4,2,3,3,Travel_Rarely,27,No,Y,80,1,1,Yes,0.649,0.496,Low,3-7yr,2017-11-21,The workload is unsustainable and unrealistic.
EMP00060,34,Sales,Sales Manager,Finance,2,Male,Married,6883,79,271,24030,16,3,0,28,3,2,2,3,5,3,1,3,3,2,3,Travel_Frequently,10,No,Y,80,1,0,No,0.324,0.439,Low,1-3yr,2020-12-10,"Too much politics, not enough focus on real work."
EMP00061,43,Sales,Account Executive,Computer Science,5,Male,Married,14384,46,469,22272,23,1,0,25,5,5,5,5,3,1,2,2,1,4,3,Travel_Rarely,25,Yes,Y,80,1,1,Yes,0.894,0.765,High,3-7yr,2018-06-01,Compensation is below market rate for my skills.
EMP00062,42,Engineering,Engineering Manager,Finance,1,Male,Married,13051,64,486,6816,24,1,7,34,18,5,5,14,4,1,1,2,4,2,3,Travel_Frequently,18,No,Y,80,1,1,Yes,0.503,0.356,Low,15+yr,2005-04-04,Poor communication from leadership constantly.
EMP00063,43,Operations,Supply Chain Analyst,Business,3,Male,Single,11216,30,265,21115,13,3,1,22,0,0,0,0,3,4,2,4,4,1,3,Travel_Rarely,7,Yes,Y,80,1,1,Yes,0.574,0.682,High,<1yr,2023-06-22,Management doesn't listen to employee concerns.
EMP00064,49,Sales,Senior Sales Rep,Business,2,Non-binary,Single,14695,58,1079,9699,20,3,9,3,3,3,3,2,3,2,2,4,3,3,4,Travel_Rarely,25,No,Y,80,1,0,No,0.381,0.187,Low,1-3yr,2020-06-01,"Too much politics, not enough focus on real work."
EMP00065,30,Sales,Account Executive,Marketing,3,Male,Divorced,10902,80,267,4629,18,3,5,13,10,0,0,10,4,1,3,4,3,2,4,Travel_Rarely,18,Yes,Y,80,1,1,Yes,0.489,0.548,High,7-15yr,2013-07-09,Compensation is below market rate for my skills.
EMP00066,47,Marketing,Growth Manager,Finance,3,Female,Married,16187,93,1416,9687,13,0,5,6,6,1,1,1,2,4,1,4,4,1,3,Travel_Rarely,13,No,Y,80,1,0,No,0.3,0.367,Low,3-7yr,2017-08-13,Excessive overtime is burning me out completely.
EMP00067,30,Engineering,Senior Engineer,Other,4,Male,Married,20573,33,1278,12156,24,3,5,7,3,3,1,3,1,4,3,4,3,1,3,Non-Travel,11,No,Y,80,1,0,No,0.135,0.258,Low,1-3yr,2020-02-23,Compensation is competitive but benefits could improve.
EMP00068,36,Operations,Supply Chain Analyst,Marketing,1,Non-binary,Single,15288,57,1179,19441,15,0,7,18,17,8,8,3,3,4,3,2,3,1,3,Travel_Frequently,10,No,Y,80,1,0,No,0.253,0.244,Low,15+yr,2006-12-11,The role has some good aspects and some challenges.
EMP00069,31,Engineering,Data Scientist,Other,3,Male,Married,17210,45,1173,8834,19,3,3,1,1,1,1,1,0,3,1,1,1,4,4,Travel_Rarely,22,No,Y,80,1,1,Yes,0.504,0.495,Low,<1yr,2022-05-29,"Too much politics, not enough focus on real work."
EMP00070,45,Customer Success,CSM,Marketing,5,Female,Single,9884,92,1391,20179,21,1,2,0,0,0,0,0,4,3,1,1,3,3,3,Non-Travel,9,No,Y,80,1,0,No,0.293,0.244,Low,<1yr,2023-11-04,No clear path for career advancement here.
EMP00071,29,Operations,Operations Manager,Business,5,Male,Married,22541,82,707,6849,15,1,5,12,12,0,0,4,5,1,4,1,2,1,3,Travel_Frequently,15,No,Y,80,1,0,No,0.445,0.507,High,7-15yr,2011-01-24,Workload is manageable most of the time.
EMP00072,45,Engineering,DevOps Engineer,Marketing,4,Female,Divorced,13559,46,1036,17782,17,3,3,23,5,5,1,3,2,2,4,2,2,4,3,Non-Travel,14,Yes,Y,80,1,1,Yes,0.625,0.614,High,3-7yr,2018-11-19,Excessive overtime is burning me out completely.
EMP00073,37,Engineering,Data Scientist,Business,1,Male,Divorced,24904,69,1325,17827,21,3,1,31,24,10,8,4,3,3,2,3,2,2,4,Travel_Frequently,3,No,Y,80,1,1,Yes,0.608,0.614,High,15+yr,1999-05-29,"Work-life balance is terrible, always on-call."
EMP00074,47,Operations,Operations Manager,Computer Science,1,Male,Married,21125,42,1085,26599,24,0,5,29,1,1,1,1,5,3,1,2,3,3,3,Travel_Rarely,24,Yes,Y,80,1,1,Yes,0.595,0.472,Low,<1yr,2022-01-17,Feeling completely disengaged and undervalued.
EMP00075,48,Finance,Senior Analyst,Other,5,Female,Married,6688,81,993,11431,17,2,9,5,5,5,1,5,2,1,2,1,4,2,3,Travel_Rarely,14,No,Y,80,1,0,No,0.438,0.44,Low,3-7yr,2018-04-22,No clear path for career advancement here.
EMP00076,58,Operations,COO,Finance,2,Female,Divorced,17114,87,621,6150,15,0,4,32,21,3,3,11,4,1,3,1,2,2,3,Travel_Rarely,21,Yes,Y,80,1,1,Yes,0.689,0.82,High,15+yr,2002-09-19,Feeling completely disengaged and undervalued.
EMP00077,25,Operations,COO,Marketing,4,Female,Married,8369,66,974,13289,12,1,8,22,8,8,5,7,5,3,3,4,1,4,4,Travel_Rarely,16,No,Y,80,1,0,No,0.35,0.269,Low,7-15yr,2015-02-18,Some processes are inefficient but improving.
EMP00078,45,Engineering,Staff Engineer,Business,4,Female,Single,14938,90,677,11496,15,3,5,9,9,9,8,9,0,1,4,4,3,2,4,Non-Travel,23,No,Y,80,1,0,No,0.251,0.257,Low,7-15yr,2014-01-29,Leadership is transparent and communicates well.
EMP00079,40,Sales,VP Sales,Engineering,5,Female,Married,7023,63,1125,25331,17,1,2,14,11,11,3,11,3,4,2,4,4,3,3,Travel_Rarely,29,Yes,Y,80,1,1,Yes,0.516,0.543,High,7-15yr,2012-04-29,Excessive overtime is burning me out completely.
EMP00080,57,Engineering,Senior Engineer,Other,5,Male,Single,18982,99,319,8470,17,2,4,22,12,0,0,1,3,1,1,2,4,2,3,Non-Travel,28,No,Y,80,1,1,Yes,0.479,0.385,Low,7-15yr,2011-10-20,Management doesn't listen to employee concerns.
EMP00081,60,Product,Principal PM,Marketing,2,Male,Married,20100,46,687,15257,14,0,9,0,0,0,0,0,5,4,1,3,3,4,3,Travel_Frequently,3,No,Y,80,1,0,No,0.283,0.169,Low,<1yr,2023-03-25,Excessive overtime is burning me out completely.
EMP00082,31,Finance,Financial Analyst,Psychology,2,Male,Married,6967,49,1384,25563,11,1,7,7,7,4,4,7,2,3,4,3,3,1,3,Travel_Rarely,8,No,Y,80,1,0,No,0.032,0.294,Low,3-7yr,2016-10-08,Excellent work-life balance and flexible policies.
EMP00083,46,Sales,Senior Sales Rep,Computer Science,1,Female,Married,10423,88,277,5712,16,0,8,2,2,0,0,0,4,2,4,4,1,4,4,Travel_Rarely,2,No,Y,80,1,0,No,0.285,0.296,Low,1-3yr,2021-04-27,Workload is manageable most of the time.
EMP00084,39,Engineering,Software Engineer,Computer Science,4,Male,Married,9450,98,1261,14721,23,3,7,13,4,3,3,4,1,4,2,3,3,1,3,Travel_Frequently,29,No,Y,80,1,0,No,0.41,0.392,Low,3-7yr,2019-06-09,No clear path for career advancement here.
EMP00085,40,Sales,Account Executive,Engineering,4,Male,Single,15213,62,640,14495,24,1,2,16,16,11,10,11,3,2,4,1,3,2,3,Travel_Frequently,24,No,Y,80,1,0,No,0.406,0.227,Low,15+yr,2007-07-31,Leadership is transparent and communicates well.
EMP00086,57,Sales,Sales Manager,Business,5,Female,Married,6215,46,661,14420,13,2,8,33,12,4,3,4,0,3,4,1,4,1,3,Non-Travel,2,No,Y,80,1,0,No,0.043,0.289,Low,7-15yr,2011-12-24,I feel valued and recognized for my contributions.
EMP00087,31,Operations,Supply Chain Analyst,Marketing,1,Female,Married,3390,86,811,23842,21,0,2,5,5,5,0,1,3,1,4,4,2,4,3,Travel_Frequently,23,Yes,Y,80,1,1,Yes,0.731,0.635,High,3-7yr,2018-05-23,Considering leaving due to lack of recognition.
EMP00088,54,Finance,Financial Analyst,Other,4,Male,Married,22421,30,1116,7315,15,0,7,4,4,4,3,4,3,4,3,4,2,4,4,Non-Travel,18,No,Y,80,1,0,No,0.265,0.29,Low,3-7yr,2019-01-10,"Management is okay, not exceptional."
EMP00089,26,Product,Senior PM,Business,1,Male,Single,3232,42,1315,7381,14,2,9,28,14,2,2,4,1,4,2,4,4,3,3,Travel_Rarely,7,No,Y,80,1,0,No,0.42,0.153,Low,7-15yr,2009-03-10,Poor communication from leadership constantly.
EMP00090,56,Marketing,Growth Manager,Computer Science,1,Male,Divorced,22515,56,808,11497,23,1,8,34,14,1,1,9,1,3,1,3,3,3,3,Travel_Rarely,17,No,Y,80,1,0,No,0.208,0.195,Low,7-15yr,2009-12-04,Management doesn't listen to employee concerns.
EMP00091,55,Engineering,Senior Engineer,Business,5,Male,Divorced,10634,99,205,21558,12,1,6,17,17,5,5,14,4,3,1,2,1,1,3,Non-Travel,6,No,Y,80,1,1,Yes,0.47,0.618,High,15+yr,2006-11-13,"Work-life balance is terrible, always on-call."
EMP00092,54,Finance,CFO,Computer Science,1,Male,Single,14498,88,880,15494,22,0,3,29,17,10,10,13,3,1,2,4,2,1,3,Non-Travel,10,Yes,Y,80,1,1,Yes,0.896,0.914,High,15+yr,2006-05-09,Compensation is below market rate for my skills.
EMP00093,42,Operations,COO,Business,2,Female,Single,13916,35,1094,24771,17,2,9,14,1,1,1,1,3,2,4,3,3,3,3,Travel_Rarely,7,Yes,Y,80,1,1,Yes,0.471,0.339,Low,<1yr,2022-09-09,"Work-life balance is terrible, always on-call."
EMP00094,38,HR,HR Director,Engineering,2,Female,Married,3233,52,470,25151,24,0,8,14,14,2,2,12,2,4,4,4,2,2,4,Travel_Rarely,4,Yes,Y,80,1,1,Yes,0.599,0.76,High,7-15yr,2009-03-23,Management doesn't listen to employee concerns.
EMP00095,43,Operations,Operations Manager,Finance,3,Female,Married,4391,39,1010,18950,15,0,2,15,10,9,9,10,2,2,1,2,4,3,3,Travel_Frequently,11,No,Y,80,1,1,Yes,0.658,0.246,Low,7-15yr,2013-09-22,Excessive overtime is burning me out completely.
EMP00096,58,Marketing,Growth Manager,Engineering,5,Male,Divorced,14084,80,758,17752,24,3,2,32,12,0,0,2,5,4,3,4,2,2,4,Travel_Rarely,16,No,Y,80,1,0,No,0.283,0.455,Low,7-15yr,2011-02-28,Workload is manageable most of the time.
EMP00097,36,Marketing,Content Strategist,Engineering,3,Female,Divorced,12447,48,298,6622,17,1,1,9,9,9,1,6,5,4,2,1,4,1,3,Travel_Frequently,27,No,Y,80,1,0,No,0.353,0.39,Low,7-15yr,2014-03-13,Poor communication from leadership constantly.
